Event,Date,Summary,Cost,Deaths
Hurricane Juan,27OCT1985,"Category 1 hurricane makes landfall near Morgan City, Louisiana. Hurricane Juan's slow movement causes severe flooding in Louisiana, Mississippi, Alabama and Florida. Southern Louisiana was most severely affected due to widespread rainfall of 10-15 inches that caused substantial flooding.",3500000000,63
Hurricane Marilyn,15SEP1995,Category 2 hurricane impacts the U.S. Virgin Islands and Puerto Rico with maximum sustained winds of 110 mph.,3400000000,13
Hurricane Dennis,09JUL2005,"Category 3 hurricane makes landfall in western Florida panhandle resulting in storm surge and wind damage along the FL and AL coasts, along with scattered wind and flood damage in GA and MS.",3200000000,15
Hurricane Isaac,26AUG2012,"Category 1 hurricane made landfall over Louisiana. Isaac's slow motion and large size led to a large storm surge and flooding rains. This created damage across several southeastern states (LA, MS, AL, FL) including 9 deaths (5 direct, 4 indirect).",3000000000,9
Hurricane Elena,30AUG1985,"Category 3 hurricane approaches the Florida Panhandle prior to landfall near Biloxi, Mississippi. Considerable wind and rain impacts were felt from Florida to Louisiana.",3000000000,4
Tropical Storm Lee,01SEP2011,"Wind and flood damage across the southeast (LA, MS, AL, GA, TN) but considerably more damage from record flooding across the northeast (PA, NY, NJ, CT, VA, MD). Pennsylvania and New York were most affected.",2800000000,21
Hurricane Bob,18AUG1991,Category 2 hurricane brushes the Outer Banks of North Carolina before making landfall in Rhode Island. Its impacts were felt from North Carolina to Long Island and into New England.,2800000000,18
Hurricane Gloria,26SEP1985,"Category 2 hurricane makes several landfalls along the eastern seaboard, affecting states from North Carolina to Maine.",2000000000,11
Hurricane Allen,07AUG1980,"Category 3 hurricane makes landfall north of Brownsville, Texas with maximum sustained winds of 115 mph. Hurricane Allen causes rainfall up to 20 inches in southern Texas and storm surge as high as 12 feet along the coast.",1900000000,13
Tropical Storm Alberto,07JUL1994,"Remnants of slow-moving Alberto bring torrential 10-25 inch rains in 3 days, widespread flooding and agricultural damage in parts of Georgia, Alabama, and panhandle of Florida.",1700000000,32
Hurricane Dolly,23JUL2008,Category 2 hurricane makes landfall in southern Texas causing considerable wind and flooding damage in TX and NM.,1500000000,3
Hurricane Lili,01AUG2002,"Category 1 hurricane makes landfall in Louisiana after causing damage across Saint Lucia, Jamaica, Haiti and Cuba.",1500000000,2
Hurricane Bonnie,27AUG1998,"Category 3 hurricane strikes eastern North Carolina and Virginia, extensive agricultural damage due to winds and flooding, with 10-inch rains in 2 days in some locations.",1500000000,3
