ParkName,UnitCode,ParkType,Region,TrafficCounter,ReportingDate,TrafficCount
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT ANNIE SPRINGS ENTRANCE,31DEC2016,1970
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,31JAN2016,0
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,29FEB2016,0
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,31MAR2016,0
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,30APR2016,0
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,31MAY2016,1474
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,30JUN2016,21264
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,31JUL2016,32414
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,31AUG2016,32984
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,30SEP2016,24865
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,31OCT2016,5105
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,30NOV2016,0
Crater Lake NP,CRLA,National Park,Pacific West,TRAFFIC COUNT AT NORTH ENTRANCE,31DEC2016,0
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31JAN2016,1358
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,29FEB2016,1764
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31MAR2016,2804
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30APR2016,3640
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31MAY2016,8833
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30JUN2016,13976
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31JUL2016,16130
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31AUG2016,13874
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30SEP2016,11771
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31OCT2016,5760
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30NOV2016,2148
Craters of the Moon NM,CRMO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31DEC2016,814
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,31JAN2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,29FEB2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,31MAR2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,30APR2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,31MAY2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,30JUN2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,31JUL2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,31AUG2016,1307
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,30SEP2016,2102
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,31OCT2016,1811
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,30NOV2016,3926
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ashford Road,31DEC2016,2007
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,31JAN2016,202
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,29FEB2016,286
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,31MAR2016,516
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,30APR2016,387
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,31MAY2016,182
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,30JUN2016,201
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,31JUL2016,281
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,31AUG2016,309
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,30SEP2016,370
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,31OCT2016,421
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,30NOV2016,315
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Big Pine Road,31DEC2016,259
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,31JAN2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,29FEB2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,31MAR2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,30APR2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,31MAY2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,30JUN2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,31JUL2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,31AUG2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,30SEP2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,31OCT2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,30NOV2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Daylight Pass,31DEC2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,31JAN2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,29FEB2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,31MAR2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,30APR2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,31MAY2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,30JUN2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,31JUL2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,31AUG2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,30SEP2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,31OCT2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,30NOV2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Grapevine Canyon,31DEC2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,31JAN2016,13214
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,29FEB2016,16964
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,31MAR2016,37197
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,30APR2016,17931
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,31MAY2016,15864
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,30JUN2016,14728
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,31JUL2016,16119
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,31AUG2016,17846
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,30SEP2016,20313
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,31OCT2016,18562
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,30NOV2016,16473
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Ryan,31DEC2016,15533
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,31JAN2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,29FEB2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,31MAR2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,30APR2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,31MAY2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,30JUN2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,31JUL2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,31AUG2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,30SEP2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,31OCT2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,30NOV2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Slaine Valley,31DEC2016,0
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,31JAN2016,9488
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,29FEB2016,12836
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,31MAR2016,29825
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,30APR2016,16040
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,31MAY2016,14390
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,30JUN2016,1457
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,31JUL2016,16323
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,31AUG2016,17668
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,30SEP2016,18752
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,31OCT2016,13011
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,30NOV2016,11991
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Townes Pass,31DEC2016,11275
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,31JAN2016,387
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,29FEB2016,664
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,31MAR2016,937
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,30APR2016,664
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,31MAY2016,546
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,30JUN2016,389
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,31JUL2016,745
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,31AUG2016,295
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,30SEP2016,456
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,31OCT2016,358
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,30NOV2016,191
Death Valley NP,DEVA,National Park,Pacific West,Traffic Count at Wildrose,31DEC2016,21
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,31JAN2016,0
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,29FEB2016,0
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,31MAR2016,0
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,30APR2016,0
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,31MAY2016,0
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,30JUN2016,1675
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,31JUL2016,4468
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,31AUG2016,3619
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,30SEP2016,6553
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,31OCT2016,3603
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,30NOV2016,0
Devils Postpile NM,DEPO,National Monument,Pacific West,TRAFFIC COUNT AT MAIN ENTRACE,31DEC2016,0
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31JAN2016,15007
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,29FEB2016,19061
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31MAR2016,60555
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30APR2016,42269
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31MAY2016,35829
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30JUN2016,44829
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31JUL2016,68185
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31AUG2016,92641
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30SEP2016,24456
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31OCT2016,25666
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,30NOV2016,16477
Fort Point NHS,FOPO,National Historic Site,Pacific West,TRAFFIC COUNT AT MAIN ENTRANCE,31DEC2016,17041
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,31JAN2016,4355
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,29FEB2016,2685
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,31MAR2016,2864
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,30APR2016,5421
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,31MAY2016,5426
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,30JUN2016,5714
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,31JUL2016,5990
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,31AUG2016,8654
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,30SEP2016,5491
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,31OCT2016,6522
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,30NOV2016,5285
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT EAST BARRACKS,31DEC2016,5686
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,31JAN2016,1517
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,29FEB2016,1806
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,31MAR2016,2267
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,30APR2016,4066
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,31MAY2016,3600
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,30JUN2016,5560
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,31JUL2016,6479
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,31AUG2016,4835
Fort Vancouver NHS,FOVA,National Historic Site,Pacific West,TRAFFIC COUNT AT FORT SITE,30SEP2016,3295
